Normalized	Id
ran_ran	1
wind_wind	2
leg_leg	3
dirt_durt	4
rod_rahd	5
good_gud	6
most_mohst	7
hurt_hurt	8
shy_shahy	9
bunny_buh-nee	10
down_daun	11
steps_steps	12
drink_dringk	13
silly_sih-lee	14
sick_sik	15
path_path	16
mist_mist	17
stars_stahrz	18
truck_truk	19
fire_fahyr	20
still_stil	21
hello_huh-loh	22
bush_bush	23
late_layt	24
pump_pump	25
shell_shel	26
yarn_yahrn	27
wings_wingz	28
sharp_sharp	29
easy_ee-zee	30
body_bah-dee	31
house_haus	32
rich_rich	33
shift_shift	34
heart_hahrt	35
tusk_tusk	36
shoot_shoot	37
seal_seel	38
even_ee-vun	39
dive_dahyv	40
claws_klahz	41
crack_krak	42
come_kum	43
fine_fahyn	44
winter_win-tur	45
apple_ap-ul	46
sound_saund	47
mossy_mah-see	48
yellow_yeh-loh	49
shine_shahyn	50
chips_chips	51
beans_beenz	52
mouth_mauth	53
spray_spray	54
year_yeer	55
truth_trooth	56
paper_pay-pur	57
rabbit_ra-but	58
feed_feed	59
tallest_tahl-ist	60
inside_in-sahyd	61
frozen_froh-zin	62
speak_speek	63
cliffs_klifs	64
whale_wayl	65
market_mahr-kit	66
flock_flahk	67
crunch_krunch	68
lizard_liz-urd	69
beware_bih-wer	70
sparkle_spar-kul	71
sweater_sweh-tur	72
nurse_nurs	73
wrong_rahng	74
hopped_hahpt	75
money_muh-nee	76
cabin_ka-bin	77
darkness_dahrk-nis	78
always_ahl-weez	79
sprout_sprout	80
carve_kahrv	81
shadows_sha-dohz	82
morning_mor-ning	83
alive_uh-lahyv	84
earth_urth	85
friend_frend	86
lovely_luv-lee	87
return_rih-turn	88
half_haf	89
swift_swift	90
grandfather_grand-fah-thur	91
footprints_foot-prints	92
fear_fir	93
thirsty_thurs-tee	94
peer_pir	95
gentle_jen-til	96
riddle_rid-uhl	97
voice_voys	98
peach_peech	99
pancake_pan-kayk	100
illness_il-nis	101
lead_led	102
groan_grohn	103
sloth_slahth	104
knit_nit	105
cloak_klohk	106
parade_puh-rayd	107
whistle_wis-uhl	108
total_toh-tuhl	109
indoors_in-dorz	110
trouble_truh-bul	111
relax_rih-laks	112
finish_fin-ish	113
holiday_hahl-uh-day	114
safety_sayf-tee	115
stout_staut	116
spiders_spahy-durz	117
entire_in-tahyr	118
library_lahy-brer-ee	119
guide_gahyd	120
hospital_hah-spit-ul	121
mustard_mus-turd	122
company_kum-puh-nee	123
ginger_jin-jur	124
narrow_na-roh	125
medium_mee-dee-um	126
pennies_pen-eez	127
hiking_hahy-king	128
foolish_foo-lish	129
afraid_uh-frayd	130
remember_rih-mem-bur	131
result_rih-zult	132
charming_chahr-ming	133
source_sors	134
pearls_purlz	135
tangy_tang-ee	136
beasts_beests	137
shivering_shiv-ur-ing	138
barge_bahrj	139
grumpily_grum-pih-lee	140
smoothly_smooth-lee	141
cottage_kah-tij	142
humble_hum-bul	143
seventy_sev-un-tee	144
dangle_dang-ul	145
distance_dis-tun(t)s	146
breeze_breez	147
soared_sord	148
frazzled_fraz-uld	149
bamboo_bam-boo	150
buttons_buh-tinz	151
cuddle_kud-ul	152
puffy_puh-fee	153
tiptoed_tip-tohd	154
clever_kleh-vur	155
basement_bays-munt	156
burlap_bur-lap	157
wetlands_wet-landz	158
invite_in-vahyt	159
butterflies_buh-tur-flahyz	160
kelp_kelp	161
property_prah-pur-tee	162
carefully_kayr-fuh-lee	163
sniffling_snif-ling	164
beneath_bi-neeth	165
tractor_trak-tur	166
permit_pur-mit	167
awning_ah-ning	168
fickle_fik-ul	169
relief_rih-leef	170
lunar_loo-nur	171
boycotting_boy-kaht-ing	172
molten_mol-tin	173
elite_ih-leet	174
woven_woh-vun	175
proclaim_proh-klaym	176
thimble_thim-bul	177
custody_kus-tuh-dee	178
granola_gruh-nohl-uh	179
warrior_wor-yur	180
rigid_rij-id	181
fierce_firs	182
laughter_laf-tur	183
salary_sal-uh-ree	184
disappear_dis-uh-pir	185
hurdler_hur-dih-lur	186
lounge_launj	187
jovial_joh-vee-ul	188
inferior_in-fir-ee-ur	189
december_dih-sem-bur	190
duration_duh-ray-shun	191
dictionary_dik-shuh-ner-ee	192
business_biz-nus	193
reinstate_ree-un-stayt	194
examine_ig-zam-in	195
versus_ver-sus	196
lullaby_luh-luh-bahy	197
opposite_ah-puh-zut	198
tissues_tih-shooz	199
